employee_id,first_name,last_name,department,sub_department,first_level_manager,second_level_manager,third_level_manager,fourth_level_manager,job_title,job_level,employment_type,contract_type,work_location,city,region,salary,bonus_target_pct,hire_date,term_date,term_type,term_reason,active_status,gender,age,ethnicity,education,years_experience,performance_rating,engagement_score,absence_days,overtime_hours,training_hours,promotion_last_3yrs,salary_band,marital_status
1200000004,Stanley,Griffiths,Executive,CEO,,,,,CEO,Executive,Permanent,Full Time,Head Office Manchester,Manchester,North West,218500,42.8,25/05/2020,,,,1,Male,51,White British,A-Level,32,3.4,68,4,0,12,No,Band A,Single
1200000005,Ashley,Smith,Executive,COO,1200000004,,,,COO,Executive,Permanent,Full Time,Head Office Manchester,Manchester,North West,167000,51.2,28/09/2023,,,,1,Male,41,White British,Master's,19,2.4,83,2,0,2,No,Band A,Married
1200000006,Brian,Newman,Executive,CFO,1200000004,,,,CFO,Executive,Permanent,Full Time,Head Office London,London,London,265400,43.1,29/11/2017,,,,1,Female,45,Mixed,Bachelor's,25,3.2,73,2,0,11,Yes,Band A,Married
1200000009,Declan,Cox,Executive,CTO,1200000004,,,,CTO,Executive,Permanent,Full Time,Head Office London,London,London,219700,59.5,16/03/2018,,,,1,Male,43,White British,Master's,21,4.6,64,5,0,17,No,Band A,Married
1200000012,Teresa,Hopkins,Executive,CHRO,1200000004,,,,CHRO,Executive,Permanent,Full Time,Head Office London,London,London,268900,59.7,25/11/2022,,,,1,Male,36,Asian British,A-Level,17,2.9,49,4,0,21,No,Band A,Single
1200000014,Phillip,Higgins,HR,HR Operations,1200000012,1200000004,,,HR Director,Director,Permanent,Full Time,Head Office Manchester,Manchester,North West,131600,26.7,23/03/2024,,,,1,Male,34,White Other,Bachelor's,12,4,60,3,0,14,No,Band A,Married
1200000015,Joanne,Lloyd,HR,Recruitment,1200000014,1200000012,1200000004,,Head of Talent Acquisition,Senior Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,78800,15.5,06/01/2024,,,,1,Male,29,Black British,Master's,8,3.5,86,5,0,0,No,Band A,Married
1200000018,Tina,Foster,HR,HR Operations,1200000014,1200000012,1200000004,,HR Operations Manager,Senior Manager,Permanent,Full Time,Head Office London,London,London,100800,18.8,20/05/2019,,,,1,Female,37,White Other,Bachelor's,18,4.1,68,3,0,21,No,Band A,Married
1200000019,Leonard,Ryan,HR,Learning & Development,1200000014,1200000012,1200000004,,L&D Manager,Senior Manager,Contractor,Full Time,Head Office London,London,London,102100,15.4,11/04/2024,,,,1,Female,30,White British,PhD,9,4,76,6,0,15,No,Band A,Married
1200000022,Gail,Harrison,HR,Reward,1200000014,1200000012,1200000004,,Reward Manager,Senior Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,79600,18,27/04/2024,,,,1,Female,41,White British,Vocational/Apprenticeship,23,3.7,34,2,0,21,No,Band A,Married
